Date,Open,High,Low,Close,Volume,Adj Close
2016-02-24,8.84,9.05,8.50,9.05,22300,9.05
2016-02-23,8.78,8.95,8.69,8.738,9300,8.738
2016-02-22,9.15,9.787,8.51,8.84,23300,8.84
2016-02-19,9.28,9.28,8.51,8.98,10000,8.98
2016-02-18,8.55,9.295,8.10,8.90,36900,8.90
2016-02-17,9.42,9.42,8.50,8.65,45100,8.65
2016-02-16,8.52,9.28,8.52,8.84,8800,8.84
2016-02-12,8.52,8.52,8.40,8.52,11500,8.52
2016-02-11,8.47,8.52,8.30,8.52,15200,8.52
2016-02-10,8.41,8.50,8.25,8.25,31000,8.25
2016-02-09,8.35,8.46,8.35,8.46,2000,8.46
2016-02-08,8.50,8.50,8.05,8.25,17300,8.25
2016-02-05,8.35,8.35,8.062,8.34,6400,8.34
2016-02-04,8.24,8.50,8.04,8.30,20000,8.30
2016-02-03,8.31,8.37,8.02,8.11,33600,8.11
2016-02-02,8.37,8.38,8.05,8.31,15900,8.31
2016-02-01,8.62,8.62,7.59,8.37,103400,8.37
2016-01-29,8.50,8.65,8.40,8.47,137200,8.47
2016-01-28,6.96,8.30,6.95,8.30,10300,8.30
2016-01-27,7.12,7.244,6.61,6.845,20700,6.845
2016-01-26,7.46,7.91,6.74,6.83,36700,6.83
2016-01-25,7.75,7.995,7.32,7.32,17500,7.32
2016-01-22,7.29,8.314,7.15,7.80,37400,7.80
2016-01-21,7.78,8.25,7.15,7.15,28200,7.15
2016-01-20,7.11,7.40,6.91,7.25,30300,7.25
2016-01-19,7.47,8.00,7.05,7.29,37100,7.29
2016-01-15,7.74,7.97,6.75,7.40,72400,7.40
2016-01-14,8.01,8.97,7.69,7.86,23900,7.86
2016-01-13,9.27,9.40,7.48,7.93,124700,7.93
2016-01-12,9.405,9.57,9.00,9.11,19500,9.11
2016-01-11,9.36,9.48,9.04,9.35,5600,9.35
2016-01-08,9.10,9.28,8.72,9.28,22700,9.28
2016-01-07,9.10,9.28,8.61,9.011,22400,9.011
2016-01-06,8.90,9.23,8.90,9.09,32000,9.09
2016-01-05,9.55,9.65,9.14,9.29,5800,9.29
2016-01-04,9.55,9.80,8.70,9.515,8300,9.515
2015-12-31,9.08,9.62,8.90,9.62,13700,9.62
2015-12-30,9.37,9.51,8.88,9.005,33900,9.005
2015-12-29,9.30,9.69,8.74,9.235,14800,9.235
2015-12-28,9.30,9.45,9.01,9.06,8800,9.06
2015-12-24,9.09,9.59,9.08,9.26,11600,9.26
2015-12-23,9.03,9.41,8.89,9.18,55000,9.18
2015-12-22,9.30,9.34,8.97,9.16,44400,9.16
2015-12-21,9.07,9.35,8.99,9.19,14000,9.19
2015-12-18,8.76,9.40,8.61,8.82,45300,8.82
2015-12-17,8.51,9.326,8.51,8.66,46600,8.66
2015-12-16,9.39,9.94,8.83,8.83,29600,8.83
2015-12-15,9.39,9.64,8.79,9.04,43000,9.04
2015-12-14,9.16,9.70,8.92,9.13,21200,9.13
2015-12-11,9.32,9.70,9.04,9.17,24400,9.17
2015-12-10,9.51,9.98,9.05,9.50,42500,9.50
2015-12-09,9.74,10.11,9.54,9.67,17100,9.67
2015-12-08,9.95,10.055,9.91,10.00,1900,10.00
2015-12-07,10.09,10.09,9.53,9.67,24400,9.67
2015-12-04,9.95,10.25,9.524,10.23,18200,10.23
2015-12-03,10.30,10.69,10.08,10.239,9800,10.239
2015-12-02,10.20,10.22,10.069,10.21,8800,10.21
2015-12-01,10.20,10.25,9.93,9.93,13500,9.93
2015-11-30,9.66,10.25,9.66,10.192,8400,10.192
2015-11-27,10.17,10.17,10.06,10.06,400,10.06
2015-11-25,9.99,10.24,9.99,10.01,6600,10.01
2015-11-24,9.80,10.34,9.80,10.205,2000,10.205
2015-11-23,10.15,10.255,10.00,10.23,12600,10.23
2015-11-20,9.97,10.34,9.97,10.34,12700,10.34
2015-11-19,9.91,9.98,9.81,9.98,25300,9.98
2015-11-18,9.89,9.99,9.20,9.92,24800,9.92
2015-11-17,9.78,9.98,9.75,9.87,10900,9.87
2015-11-16,9.61,9.99,9.29,9.65,18500,9.65
2015-11-13,9.86,9.95,9.34,9.68,332100,9.68
2015-11-12,9.99,10.00,9.52,9.52,24800,9.52
2015-11-11,10.24,10.24,9.49,9.99,11900,9.99
2015-11-10,10.00,10.19,9.99,10.11,3400,10.11
2015-11-09,10.09,10.19,9.99,10.045,10000,10.045
2015-11-06,10.00,10.08,9.916,10.01,4200,10.01
2015-11-05,10.10,10.10,10.00,10.00,1000,10.00
2015-11-04,10.03,10.149,10.00,10.00,3100,10.00
2015-11-03,10.09,10.10,10.00,10.03,2100,10.03
2015-11-02,10.11,10.20,9.99,10.087,4100,10.087
2015-10-30,10.197,10.20,9.73,9.95,6600,9.95
2015-10-29,9.99,10.16,9.96,9.96,3100,9.96
2015-10-28,9.30,10.20,9.11,10.15,9900,10.15
2015-10-27,9.796,10.16,9.52,9.83,10100,9.83
2015-10-26,9.66,10.12,9.62,9.87,12200,9.87
2015-10-23,9.76,10.16,8.92,9.57,29600,9.57
2015-10-22,9.72,10.13,9.01,9.53,21400,9.53
2015-10-21,10.27,10.27,9.50,10.04,14000,10.04
2015-10-20,9.71,10.23,9.50,10.23,9000,10.23
2015-10-19,10.28,10.28,9.92,9.92,11700,9.92
2015-10-16,10.35,10.52,9.89,10.24,127300,10.24
2015-10-15,10.04,10.25,10.00,10.00,14100,10.00
2015-10-14,9.96,10.433,9.96,10.24,12900,10.24
2015-10-13,9.81,10.33,9.81,10.06,34700,10.06
2015-10-12,9.61,10.00,9.61,10.00,15300,10.00
2015-10-09,9.60,9.99,9.60,9.86,12000,9.86
2015-10-08,10.08,10.08,9.56,9.775,20300,9.775
2015-10-07,10.02,10.538,9.81,10.27,126700,10.27
2015-10-06,10.18,10.36,9.95,10.27,61100,10.27
2015-10-05,9.16,9.979,9.16,9.75,59300,9.75
2015-10-02,9.50,9.50,9.00,9.01,43500,9.01
2015-10-01,9.25,9.52,9.02,9.23,82900,9.23
2015-09-30,9.45,10.65,8.754,9.50,96600,9.50
2015-09-29,9.52,9.80,9.22,9.30,19000,9.30
2015-09-28,9.68,9.99,9.51,9.77,25600,9.77
2015-09-25,9.83,10.35,9.65,9.73,136100,9.73
2015-09-24,10.54,10.715,9.629,9.67,176500,9.67
2015-09-23,10.93,11.20,10.70,10.79,67900,10.79
2015-09-22,12.35,12.89,10.62,10.81,354200,10.81
2015-09-21,14.26,14.82,12.58,12.62,489400,12.62
