Date,Open,High,Low,Close,Volume,Adj Close
2016-02-04,7.00,7.18,6.90,7.07,311200,7.07
2016-02-03,7.45,7.45,6.62,7.10,218700,7.10
2016-02-02,7.35,7.62,7.19,7.38,341000,7.38
2016-02-01,7.12,7.66,7.03,7.18,197000,7.18
2016-01-29,7.33,7.40,7.01,7.18,476600,7.18
2016-01-28,7.49,7.69,7.27,7.32,492800,7.32
2016-01-27,7.46,7.51,7.23,7.44,374000,7.44
2016-01-26,7.30,7.54,7.14,7.50,261800,7.50
2016-01-25,7.26,7.52,7.16,7.29,191900,7.29
2016-01-22,7.07,7.32,6.92,7.27,228900,7.27
2016-01-21,7.05,7.16,6.75,6.95,210200,6.95
2016-01-20,6.50,7.18,6.47,7.00,294200,7.00
2016-01-19,6.57,6.82,6.49,6.60,516200,6.60
2016-01-15,6.65,6.65,6.24,6.45,420200,6.45
2016-01-14,6.57,7.13,6.29,6.85,358400,6.85
2016-01-13,6.96,6.98,6.48,6.54,297500,6.54
2016-01-12,7.05,7.35,6.57,6.89,432600,6.89
2016-01-11,7.60,7.60,6.86,7.01,446300,7.01
2016-01-08,7.88,7.94,7.36,7.37,387400,7.37
2016-01-07,8.42,8.55,7.76,7.82,395800,7.82
2016-01-06,8.52,8.79,8.45,8.53,237700,8.53
2016-01-05,8.87,8.88,8.46,8.61,155100,8.61
2016-01-04,8.75,8.88,8.48,8.81,279400,8.81
2015-12-31,8.82,9.07,8.80,8.90,363400,8.90
2015-12-30,9.18,9.18,8.66,8.78,175000,8.78
2015-12-29,8.85,9.02,8.79,9.01,286100,9.01
2015-12-28,8.68,8.86,8.61,8.84,167100,8.84
2015-12-24,8.66,8.81,8.61,8.77,100700,8.77
2015-12-23,8.14,8.61,8.00,8.58,272900,8.58
2015-12-22,8.40,8.51,7.95,8.05,290500,8.05
2015-12-21,8.50,8.76,8.35,8.37,270400,8.37
2015-12-18,8.50,8.71,8.34,8.34,1724100,8.34
2015-12-17,8.82,9.12,8.55,8.56,313900,8.56
2015-12-16,8.75,9.00,8.75,8.93,327500,8.93
2015-12-15,8.64,9.08,8.55,8.90,368400,8.90
2015-12-14,8.35,8.65,8.25,8.59,222700,8.59
2015-12-11,8.52,8.85,8.35,8.39,521600,8.39
2015-12-10,8.26,8.60,8.26,8.50,259300,8.50
2015-12-09,8.30,8.49,8.28,8.34,179800,8.34
2015-12-08,7.97,8.41,7.96,8.30,148800,8.30
2015-12-07,8.39,8.40,7.96,8.12,320900,8.12
2015-12-04,8.36,8.70,8.25,8.49,121100,8.49
2015-12-03,8.78,8.98,8.31,8.38,205800,8.38
2015-12-02,8.61,8.98,8.61,8.83,523700,8.83
2015-12-01,8.41,8.74,8.31,8.72,277500,8.72
2015-11-30,8.40,8.84,8.14,8.48,290200,8.48
2015-11-27,8.76,8.76,8.21,8.35,156100,8.35
2015-11-25,8.47,8.82,8.27,8.70,289900,8.70
2015-11-24,8.37,8.50,8.14,8.47,173300,8.47
2015-11-23,8.16,8.48,8.16,8.38,223800,8.38
2015-11-20,8.11,8.53,8.10,8.35,194600,8.35
2015-11-19,7.90,8.23,7.88,8.07,339600,8.07
2015-11-18,7.92,8.18,7.89,8.08,279700,8.08
2015-11-17,8.04,8.18,7.77,7.89,280700,7.89
2015-11-16,7.58,8.08,7.53,8.04,288200,8.04
2015-11-13,7.38,7.68,7.37,7.61,165400,7.61
2015-11-12,7.64,7.83,7.36,7.47,315500,7.47
2015-11-11,7.76,7.89,7.54,7.72,255300,7.72
2015-11-10,8.04,8.14,7.65,7.76,275200,7.76
2015-11-09,8.19,8.33,8.04,8.09,221200,8.09
2015-11-06,7.88,8.40,7.70,8.25,351400,8.25
2015-11-05,7.79,8.18,7.71,7.93,293600,7.93
2015-11-04,7.72,7.81,7.38,7.81,386400,7.81
2015-11-03,7.65,7.79,7.59,7.72,412400,7.72
2015-11-02,7.26,7.85,7.26,7.67,459500,7.67
2015-10-30,7.34,7.42,7.02,7.27,262100,7.27
2015-10-29,7.51,7.57,7.22,7.34,293300,7.34
2015-10-28,7.15,7.76,7.10,7.51,346300,7.51
2015-10-27,7.69,7.70,7.06,7.15,500400,7.15
2015-10-26,7.68,7.94,7.48,7.70,335200,7.70
