Date,Open,High,Low,Close,Volume,Adj Close
2016-02-19,1.01,1.01,0.79,0.79,16500,0.79
2016-02-18,0.97,1.10,0.97,0.99,5000,0.99
2016-02-17,0.94,1.04,0.93,0.95,2500,0.95
2016-02-16,0.808,1.01,0.78,0.78,3600,0.78
2016-02-12,0.95,0.95,0.95,0.95,000,0.95
2016-02-11,0.889,1.00,0.88,0.95,4200,0.95
2016-02-10,0.88,0.88,0.749,0.879,700,0.879
2016-02-09,0.90,0.90,0.90,0.90,1000,0.90
2016-02-08,0.90,0.90,0.75,0.88,1800,0.88
2016-02-05,0.703,0.703,0.703,0.703,000,0.703
2016-02-04,0.703,0.703,0.703,0.703,000,0.703
2016-02-03,0.703,0.703,0.703,0.703,000,0.703
2016-02-02,0.703,0.703,0.703,0.703,100,0.703
2016-02-01,0.87,0.88,0.87,0.88,500,0.88
2016-01-29,0.849,0.91,0.81,0.82,5900,0.82
2016-01-28,0.89,0.89,0.662,0.70,2300,0.70
2016-01-27,0.771,0.771,0.771,0.771,100,0.771
2016-01-26,0.76,0.857,0.621,0.735,26900,0.735
2016-01-25,0.659,0.83,0.62,0.74,33200,0.74
2016-01-22,0.719,0.78,0.62,0.724,1700,0.724
2016-01-21,0.83,0.849,0.63,0.65,54400,0.65
2016-01-20,0.72,0.77,0.60,0.76,32800,0.76
2016-01-19,0.89,1.06,0.712,0.832,28500,0.832
2016-01-15,0.61,1.00,0.61,0.99,28600,0.99
2016-01-14,0.68,0.77,0.57,0.752,7100,0.752
2016-01-13,0.68,0.79,0.546,0.75,92900,0.75
2016-01-12,0.87,0.87,0.625,0.68,6700,0.68
2016-01-11,1.36,1.36,0.87,0.87,26300,0.87
2016-01-08,1.15,1.16,0.87,0.87,6100,0.87
2016-01-07,1.27,1.44,1.00,1.32,8100,1.32
2016-01-06,1.09,1.27,1.003,1.27,4700,1.27
2016-01-05,1.18,1.19,1.08,1.19,1600,1.19
2016-01-04,1.17,1.25,1.05,1.25,3700,1.25
2015-12-31,1.55,1.66,1.26,1.26,7300,1.26
2015-12-30,1.69,1.997,1.41,1.598,33400,1.598
2015-12-29,1.75,1.85,1.70,1.70,8000,1.70
2015-12-28,1.96,1.96,1.64,1.90,2300,1.90
2015-12-24,1.72,1.72,1.72,1.72,000,1.72
2015-12-23,1.75,1.75,1.694,1.72,1000,1.72
2015-12-22,1.61,1.90,1.61,1.71,2400,1.71
2015-12-21,1.56,1.97,1.56,1.61,12900,1.61
2015-12-18,1.75,2.10,1.73,1.75,46900,1.75
2015-12-17,1.73,1.916,1.73,1.73,11100,1.73
2015-12-16,2.31,2.31,1.736,1.736,2300,1.736
2015-12-15,2.25,2.25,1.66,2.00,31400,2.00
2015-12-14,3.05,3.05,1.85,2.01,44700,2.01
2015-12-11,2.15,3.37,1.80,2.88,96300,2.88
2015-12-10,1.85,2.20,1.70,2.20,11400,2.20
2015-12-09,1.87,2.00,1.67,1.70,5200,1.70
2015-12-08,1.661,2.06,1.58,1.71,116600,1.71
2015-12-07,1.70,1.70,1.70,1.70,1800,1.70
2015-12-04,2.00,2.00,1.52,1.80,10000,1.80
2015-12-03,2.00,2.00,2.00,2.00,000,2.00
2015-12-02,2.05,2.05,2.00,2.00,900,2.00
2015-12-01,2.05,2.05,2.05,2.05,000,2.05
2015-11-30,2.05,2.07,2.05,2.05,1600,2.05
2015-11-27,2.50,2.50,2.10,2.10,1000,2.10
2015-11-25,2.15,2.15,2.10,2.149,900,2.149
2015-11-24,2.30,2.64,2.15,2.23,2600,2.23
2015-11-23,2.50,2.50,2.27,2.30,4000,2.30
2015-11-20,2.47,2.85,2.401,2.401,500,2.401
2015-11-19,2.40,2.642,2.30,2.30,4700,2.30
2015-11-18,2.40,2.90,2.40,2.63,3500,2.63
2015-11-17,2.50,2.592,2.35,2.365,3200,2.365
2015-11-16,2.75,2.785,2.50,2.50,3400,2.50
2015-11-13,2.76,2.79,2.76,2.79,800,2.79
2015-11-12,2.52,2.52,2.52,2.52,300,2.52
2015-11-11,2.55,3.00,2.55,3.00,600,3.00
2015-11-10,2.77,2.77,2.70,2.70,1000,2.70
2015-11-09,2.96,2.96,2.70,2.787,1100,2.787
2015-11-06,3.00,3.12,3.00,3.02,3200,3.02
2015-11-05,3.243,3.349,2.77,3.055,2300,3.055
2015-11-04,3.00,3.00,2.40,2.729,3700,2.729
