Date,Open,High,Low,Close,Volume,Adj Close
2016-01-29,20.030001,20.77,20.030001,20.73,11000,20.73
2016-01-28,20.700001,20.780001,20.26,20.27,14800,20.27
2016-01-27,22.080999,22.080999,21.00,21.040001,8800,21.040001
2016-01-26,21.870001,22.200001,21.431999,22.049999,6900,22.049999
2016-01-25,22.40,22.709999,22.23,22.23,25100,22.23
2016-01-22,23.889999,23.889999,22.040001,22.26,28000,22.26
2016-01-21,21.889999,22.549999,21.74,21.85,7900,21.85
2016-01-20,20.059999,22.26,20.059999,21.975,30300,21.975
2016-01-19,21.90,22.309999,20.799999,21.280001,18000,21.280001
2016-01-15,21.18,21.90,21.034,21.874001,24200,21.874001
2016-01-14,22.059999,22.659,20.98,22.370001,25900,22.370001
2016-01-13,23.719999,23.76,21.684999,21.705,25800,21.705
2016-01-12,23.51,24.205999,22.65,23.43,21300,23.43
2016-01-11,24.299999,24.426001,22.450001,23.00,39300,23.00
2016-01-08,26.18,26.18,24.25,24.32,32100,24.32
2016-01-07,25.940001,25.940001,24.74,24.74,28100,24.74
2016-01-06,27.110001,27.110001,26.01,26.253,20300,26.253
2016-01-05,27.709999,27.73,27.184,27.363001,10200,27.363001
2016-01-04,28.559999,28.559999,27.299999,27.50,22400,27.50
2015-12-31,28.959,28.959,28.52,28.559999,7900,28.559999
2015-12-30,29.16,29.16,28.77,29.01,3200,29.01
2015-12-29,28.49,28.979,28.49,28.92,15700,28.92
2015-12-28,29.639999,29.639999,28.35,28.43,10400,28.324
2015-12-24,29.450001,29.450001,28.965,29.115999,7800,29.007442
2015-12-23,28.52,29.02,28.355,28.877001,11600,28.769334
2015-12-22,28.48,28.50,28.139999,28.26,5400,28.154634
2015-12-21,28.83,28.83,28.00,28.360001,6800,28.254262
2015-12-18,28.35,28.549999,28.187,28.238001,15900,28.132717
2015-12-17,29.01,29.25,28.096001,28.25,28800,28.144671
2015-12-16,27.940001,28.84,27.90,28.775,26500,28.667713
2015-12-15,27.65,27.65,27.16,27.559999,11200,27.457243
2015-12-14,27.50,27.50,26.68,26.951,14300,26.850515
2015-12-11,28.091,28.23,27.49,27.52,29500,27.417394
2015-12-10,27.969999,28.521999,27.969999,28.382,27700,28.276179
2015-12-09,29.139999,29.139999,27.889999,28.089001,35200,27.984272
2015-12-08,28.90,29.239,28.391001,29.10,11900,28.991503
2015-12-07,30.450001,30.450001,28.743,28.85,24800,28.742435
2015-12-04,29.752001,30.200001,29.534,30.148001,14200,30.035595
2015-12-03,30.57,30.785999,29.42,29.68,15800,29.56934
2015-12-02,31.09,31.162001,30.52,30.559999,19100,30.446058
2015-12-01,31.23,31.23,30.23,30.629999,26200,30.515797
2015-11-30,31.50,31.50,30.50,30.790001,35200,30.675202
2015-11-27,31.15,31.26,31.00,31.16,22000,31.043821
2015-11-25,30.49,31.02,30.382999,30.92,42000,30.804716
2015-11-24,30.27,30.27,29.66,30.16,15400,30.04755
2015-11-23,29.615999,30.360001,29.566,30.200001,27300,30.087402
2015-11-20,29.583,29.77,29.393999,29.60,10800,29.489638
2015-11-19,30.440001,30.440001,29.264,29.440001,12900,29.330235
2015-11-18,29.50,29.90,29.299999,29.90,9800,29.788519
2015-11-17,29.59,29.68,28.950001,29.280001,18900,29.170832
2015-11-16,29.200001,29.530001,28.540001,29.110001,22100,29.001465
2015-11-13,29.219999,29.68,28.52,29.360001,13800,29.250533
2015-11-12,29.719999,29.719999,28.959999,28.959999,15400,28.852023
2015-11-11,30.50,30.57,29.627001,29.629999,27100,29.519525
2015-11-10,30.024,30.264,29.85,30.25,24000,30.137214
2015-11-09,29.860001,30.120001,29.559999,30.08,23500,29.967848
2015-11-06,30.200001,30.200001,29.139999,29.68,33800,29.56934
2015-11-05,30.25,30.25,29.280001,29.68,25400,29.56934
2015-11-04,30.10,30.10,29.299999,29.92,33800,29.808445
2015-11-03,29.75,29.868999,28.629999,29.799999,81000,29.688891
2015-11-02,28.120001,29.18,27.67,29.18,52800,29.071204
2015-10-30,28.200001,28.200001,27.419001,27.65,22200,27.546908
2015-10-29,28.709999,28.809999,27.861,27.889999,29200,27.786013
2015-10-28,28.219999,28.530001,27.25,28.530001,49200,28.423628
2015-10-27,27.35,27.700001,27.10,27.700001,29500,27.596723
2015-10-26,27.42,27.50,26.67,27.200001,16700,27.098587
2015-10-23,26.74,27.10,26.565001,27.049999,26600,26.949145
2015-10-22,26.66,26.82,25.91,26.35,23600,26.251756
2015-10-21,26.534,26.91,25.639999,26.219999,48000,26.122239
2015-10-20,27.389999,27.40,26.27,26.459999,63900,26.361344
2015-10-19,27.200001,27.860001,26.27,27.200001,108400,27.098587
2015-10-16,27.299999,27.389999,26.65,26.98,212600,26.879406
2015-10-15,25.85,29.00,25.611,29.00,134900,28.891875
2015-10-14,25.549999,25.780001,25.07,25.09,45900,24.996453
